epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,10,0.001287,0.998713
2.0,2,43,10,0.001188,0.998812
2.0,3,44,10,0.001436,0.998564
2.0,4,45,10,0.001733,0.998267
2.0,5,46,10,0.001188,0.998812
4.0,1,42,10,0.003069,0.996931
4.0,2,43,10,0.002277,0.997723
4.0,3,44,10,0.00297,0.99703
4.0,4,45,10,0.002871,0.997129
4.0,5,46,10,0.002822,0.997178
6.0,1,42,10,0.006882,0.993118
6.0,2,43,10,0.006485,0.993515
6.0,3,44,10,0.007278,0.992722
6.0,4,45,10,0.007278,0.992722
6.0,5,46,10,0.006931,0.993069
8.0,1,42,10,0.019506,0.980494
8.0,2,43,10,0.017229,0.982771
8.0,3,44,10,0.019704,0.980296
8.0,4,45,10,0.020793,0.979207
8.0,5,46,10,0.019011,0.980989
10.0,1,42,10,0.06832,0.93168
10.0,2,43,10,0.062231,0.937769
10.0,3,44,10,0.064805,0.935195
10.0,4,45,10,0.070697,0.929303
10.0,5,46,10,0.065548,0.934452
12.0,1,42,10,0.213822,0.786178
12.0,2,43,10,0.203376,0.796624
12.0,3,44,10,0.211347,0.788653
12.0,4,45,10,0.215159,0.784841
12.0,5,46,10,0.209515,0.790485
14.0,1,42,10,0.501609,0.498391
14.0,2,43,10,0.49349,0.50651
14.0,3,44,10,0.509481,0.490519
14.0,4,45,10,0.516115,0.483885
14.0,5,46,10,0.502847,0.497153
16.0,1,42,10,0.788405,0.211595
16.0,2,43,10,0.785138,0.214862
16.0,3,44,10,0.790732,0.209268
16.0,4,45,10,0.79192,0.20808
16.0,5,46,10,0.786673,0.213327
18.0,1,42,10,0.933215,0.066785
18.0,2,43,10,0.932224,0.067776
18.0,3,44,10,0.932571,0.067429
18.0,4,45,10,0.935937,0.064063
18.0,5,46,10,0.932026,0.067974
20.0,1,42,10,0.981237,0.018763
20.0,2,43,10,0.981831,0.018169
20.0,3,44,10,0.980791,0.019209
20.0,4,45,10,0.982821,0.017179
20.0,5,46,10,0.98089,0.01911
22.0,1,42,10,0.995297,0.004703
22.0,2,43,10,0.994158,0.005842
22.0,3,44,10,0.994901,0.005099
22.0,4,45,10,0.995247,0.004753
22.0,5,46,10,0.993317,0.006683
24.0,1,42,10,0.999257,0.000743
24.0,2,43,10,0.998317,0.001683
24.0,3,44,10,0.998812,0.001188
24.0,4,45,10,0.999208,0.000792
24.0,5,46,10,0.998614,0.001386
0.0,1,42,10,0.000693,0.999307
0.0,2,43,10,0.000792,0.999208
0.0,3,44,10,0.000644,0.999356
0.0,4,45,10,0.001089,0.998911
0.0,5,46,10,0.000743,0.999257
