epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,1,0.000141,0.999859
2.0,2,43,1,0.000152,0.999848
2.0,3,44,1,0.000164,0.999836
2.0,4,45,1,0.000114,0.999886
2.0,5,46,1,0.000107,0.999893
4.0,1,42,1,0.000693,0.999307
4.0,2,43,1,0.000659,0.999341
4.0,3,44,1,0.000701,0.999299
4.0,4,45,1,0.000651,0.999349
4.0,5,46,1,0.000743,0.999257
6.0,1,42,1,0.003062,0.996938
6.0,2,43,1,0.003065,0.996935
6.0,3,44,1,0.002886,0.997114
6.0,4,45,1,0.00302,0.99698
6.0,5,46,1,0.002928,0.997072
8.0,1,42,1,0.013286,0.986714
8.0,2,43,1,0.012448,0.987552
8.0,3,44,1,0.013271,0.986729
8.0,4,45,1,0.012783,0.987217
8.0,5,46,1,0.013031,0.986969
10.0,1,42,1,0.054202,0.945798
10.0,2,43,1,0.052131,0.947869
10.0,3,44,1,0.05405,0.94595
10.0,4,45,1,0.05448,0.94552
10.0,5,46,1,0.053776,0.946224
12.0,1,42,1,0.191844,0.808156
12.0,2,43,1,0.187347,0.812653
12.0,3,44,1,0.19296,0.80704
12.0,4,45,1,0.190667,0.809333
12.0,5,46,1,0.190618,0.809382
14.0,1,42,1,0.47867,0.52133
14.0,2,43,1,0.476389,0.523611
14.0,3,44,1,0.47862,0.52138
14.0,4,45,1,0.476808,0.523192
14.0,5,46,1,0.480536,0.519464
16.0,1,42,1,0.770145,0.229855
16.0,2,43,1,0.767696,0.232304
16.0,3,44,1,0.76639,0.23361
16.0,4,45,1,0.767438,0.232562
16.0,5,46,1,0.771162,0.228838
18.0,1,42,1,0.921316,0.078684
18.0,2,43,1,0.919938,0.080062
18.0,3,44,1,0.919413,0.080587
18.0,4,45,1,0.921633,0.078367
18.0,5,46,1,0.920962,0.079038
20.0,1,42,1,0.97489,0.02511
20.0,2,43,1,0.973596,0.026404
20.0,3,44,1,0.974601,0.025399
20.0,4,45,1,0.974571,0.025429
20.0,5,46,1,0.974411,0.025589
22.0,1,42,1,0.991405,0.008595
22.0,2,43,1,0.990777,0.009223
22.0,3,44,1,0.991428,0.008572
22.0,4,45,1,0.991546,0.008454
22.0,5,46,1,0.991261,0.008739
24.0,1,42,1,0.996798,0.003202
24.0,2,43,1,0.996649,0.003351
24.0,3,44,1,0.997034,0.002966
24.0,4,45,1,0.996824,0.003176
24.0,5,46,1,0.996908,0.003092
