epsilon,run,seed,topk,attack_success_rate,defense_rate
0.0,1,42,300,0.010689,0.989311
0.0,2,43,300,0.010278,0.989722
0.0,3,44,300,0.010548,0.989452
0.0,4,45,300,0.01059,0.98941
0.0,5,46,300,0.01032,0.98968
2.0,1,42,300,0.010689,0.989311
2.0,2,43,300,0.010278,0.989722
2.0,3,44,300,0.010548,0.989452
2.0,4,45,300,0.01059,0.98941
2.0,5,46,300,0.01032,0.98968
4.0,1,42,300,0.010689,0.989311
4.0,2,43,300,0.010278,0.989722
4.0,3,44,300,0.010548,0.989452
4.0,4,45,300,0.01059,0.98941
4.0,5,46,300,0.01032,0.98968
6.0,1,42,300,0.010689,0.989311
6.0,2,43,300,0.010281,0.989719
6.0,3,44,300,0.010548,0.989452
6.0,4,45,300,0.01059,0.98941
6.0,5,46,300,0.01032,0.98968
8.0,1,42,300,0.010868,0.989132
8.0,2,43,300,0.010426,0.989574
8.0,3,44,300,0.010731,0.989269
8.0,4,45,300,0.010738,0.989262
8.0,5,46,300,0.010449,0.989551
10.0,1,42,300,0.061963,0.938037
10.0,2,43,300,0.061757,0.938243
10.0,3,44,300,0.062138,0.937862
10.0,4,45,300,0.061864,0.938136
10.0,5,46,300,0.061955,0.938045
12.0,1,42,300,0.941898,0.058102
12.0,2,43,300,0.941236,0.058764
12.0,3,44,300,0.941929,0.058071
12.0,4,45,300,0.941887,0.058113
12.0,5,46,300,0.941449,0.058551
14.0,1,42,300,0.993374,0.006626
14.0,2,43,300,0.992807,0.007193
14.0,3,44,300,0.993306,0.006694
14.0,4,45,300,0.993572,0.006428
14.0,5,46,300,0.993351,0.006649
16.0,1,42,300,0.993546,0.006454
16.0,2,43,300,0.993005,0.006995
16.0,3,44,300,0.993462,0.006538
16.0,4,45,300,0.993732,0.006268
16.0,5,46,300,0.993507,0.006493
18.0,1,42,300,0.993546,0.006454
18.0,2,43,300,0.993005,0.006995
18.0,3,44,300,0.993462,0.006538
18.0,4,45,300,0.993732,0.006268
18.0,5,46,300,0.993511,0.006489
20.0,1,42,300,0.993546,0.006454
20.0,2,43,300,0.993005,0.006995
20.0,3,44,300,0.993462,0.006538
20.0,4,45,300,0.993732,0.006268
20.0,5,46,300,0.993511,0.006489
22.0,1,42,300,0.993546,0.006454
22.0,2,43,300,0.993005,0.006995
22.0,3,44,300,0.993462,0.006538
22.0,4,45,300,0.993732,0.006268
22.0,5,46,300,0.993511,0.006489
