epsilon,run,seed,accuracy
0.00,1,42,0.5015559216547685
0.00,2,43,0.5136371956800293
0.00,3,44,0.5061321618158521
0.00,4,45,0.527732015376167
0.00,5,46,0.5354200988467874
2.00,1,42,0.5015559216547685
2.00,2,43,0.5136371956800293
2.00,3,44,0.5061321618158521
2.00,4,45,0.527732015376167
2.00,5,46,0.5354200988467874
4.00,1,42,0.5015559216547685
4.00,2,43,0.5136371956800293
4.00,3,44,0.5061321618158521
4.00,4,45,0.527732015376167
4.00,5,46,0.5354200988467874
6.00,1,42,0.5090609555189456
6.00,2,43,0.5180303862346696
6.00,3,44,0.5123558484349259
6.00,4,45,0.519311733479773
6.00,5,46,0.5275489657697235
8.00,1,42,0.5048508145707487
8.00,2,43,0.5337726523887973
8.00,3,44,0.5154676917444627
8.00,4,45,0.5145524437122461
8.00,5,46,0.5249862712795168
10.00,1,42,0.7201171517481237
10.00,2,43,0.7146256635548234
10.00,3,44,0.695405454878272
10.00,4,45,0.7272560863994142
10.00,5,46,0.7124290682775032
12.00,1,42,0.9035328574043566
12.00,2,43,0.8989566172432729
12.00,3,44,0.8998718652754897
12.00,4,45,0.9017023613399231
12.00,5,46,0.90426505583013
14.00,1,42,0.90536335346879
14.00,2,43,0.9037159070108
14.00,3,44,0.8989566172432729
14.00,4,45,0.9029837085850265
14.00,5,46,0.9081090975654402
16.00,1,42,0.9031667581914699
16.00,2,43,0.9086582463847702
16.00,3,44,0.8973091707852828
16.00,4,45,0.9062786015010068
16.00,5,46,0.9077429983525536
18.00,1,42,0.9031667581914699
18.00,2,43,0.9086582463847702
18.00,3,44,0.8973091707852828
18.00,4,45,0.9062786015010068
18.00,5,46,0.9077429983525536
18.00,5,46,0.9077429983525536
20.00,1,42,0.9031667581914699
20.00,1,42,0.9031667581914699
20.00,2,43,0.9086582463847702
20.00,3,44,0.8973091707852828
20.00,2,43,0.9086582463847702
20.00,4,45,0.9062786015010068
20.00,4,45,0.9062786015010068
20.00,5,46,0.9077429983525536
20.00,5,46,0.9077429983525536
7,1,42,0.5319421563243639
7,2,43,0.5161998901702362
7,3,44,0.5158337909573495
7,4,45,0.514003294892916
7,5,46,0.5220574775764232
9,1,42,0.5053999633900788
9,2,43,0.5152846421380194
9,3,44,0.5240710232473
9,4,45,0.538898041369211
9,5,46,0.5220574775764232
11,1,42,0.8930990298370859
11,2,43,0.8932820794435292
11,3,44,0.8844956983342486
11,4,45,0.890536335346879
11,5,46,0.8934651290499726
13,1,42,0.9033498077979132
13,2,43,0.9084751967783269
13,3,44,0.900054914881933
13,4,45,0.9035328574043566
13,5,46,0.9077429983525536
15,1,42,0.9018854109463664
15,2,43,0.909024345597657
15,3,44,0.8982244188174996
15,4,45,0.9035328574043566
15,5,46,0.9077429983525536
17,1,42,0.9031667581914699
17,2,43,0.9086582463847702
17,3,44,0.8973091707852828
17,4,45,0.9062786015010068
17,5,46,0.9077429983525536
19,1,42,0.9031667581914699
19,2,43,0.9086582463847702
19,3,44,0.8973091707852828
19,4,45,0.9062786015010068
19,5,46,0.9077429983525536
9.5,1,42,0.5685520776130332
9.5,2,43,0.5709317224967966
9.5,3,44,0.5628775398132894
9.5,4,45,0.5766062602965404
9.5,5,46,0.5793520043931906
10.5,1,42,0.8513637195680029
10.5,2,43,0.8526450668131064
10.5,3,44,0.8380010982976387
10.5,4,45,0.8498993227164562
10.5,5,46,0.8467874794069192
