epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,300,0.014904,0.985096
2.0,2,43,300,0.0142,0.9858
2.0,3,44,300,0.014756,0.985244
2.0,4,45,300,0.014345,0.985655
2.0,5,46,300,0.014181,0.985819
4.0,1,42,300,0.020685,0.979315
4.0,2,43,300,0.01966,0.98034
4.0,3,44,300,0.020673,0.979327
4.0,4,45,300,0.020262,0.979738
4.0,5,46,300,0.019744,0.980256
6.0,1,42,300,0.029489,0.970511
6.0,2,43,300,0.028232,0.971768
6.0,3,44,300,0.02966,0.97034
6.0,4,45,300,0.029984,0.970016
6.0,5,46,300,0.029508,0.970492
8.0,1,42,300,0.048502,0.951498
8.0,2,43,300,0.046773,0.953227
8.0,3,44,300,0.048852,0.951148
8.0,4,45,300,0.04854,0.95146
8.0,5,46,300,0.048963,0.951037
10.0,1,42,300,0.09965,0.90035
10.0,2,43,300,0.096684,0.903316
10.0,3,44,300,0.100629,0.899371
10.0,4,45,300,0.09965,0.90035
10.0,5,46,300,0.099936,0.900064
12.0,1,42,300,0.244413,0.755587
12.0,2,43,300,0.239999,0.760001
12.0,3,44,300,0.245525,0.754475
12.0,4,45,300,0.244196,0.755804
12.0,5,46,300,0.245449,0.754551
14.0,1,42,300,0.524982,0.475018
14.0,2,43,300,0.522564,0.477436
14.0,3,44,300,0.523348,0.476652
14.0,4,45,300,0.521612,0.478388
14.0,5,46,300,0.527465,0.472535
16.0,1,42,300,0.79674,0.20326
16.0,2,43,300,0.794542,0.205458
16.0,3,44,300,0.793682,0.206318
16.0,4,45,300,0.794242,0.205758
16.0,5,46,300,0.79776,0.20224
18.0,1,42,300,0.932915,0.067085
18.0,2,43,300,0.931975,0.068025
18.0,3,44,300,0.931046,0.068954
18.0,4,45,300,0.933673,0.066327
18.0,5,46,300,0.932839,0.067161
20.0,1,42,300,0.97962,0.02038
20.0,2,43,300,0.978736,0.021264
20.0,3,44,300,0.979723,0.020277
20.0,4,45,300,0.979532,0.020468
20.0,5,46,300,0.979273,0.020727
22.0,1,42,300,0.993546,0.006454
22.0,2,43,300,0.993005,0.006995
22.0,3,44,300,0.993462,0.006538
22.0,4,45,300,0.993732,0.006268
22.0,5,46,300,0.993511,0.006489
24.0,1,42,300,0.997795,0.002205
24.0,2,43,300,0.997647,0.002353
24.0,3,44,300,0.998005,0.001995
24.0,4,45,300,0.997723,0.002277
24.0,5,46,300,0.99786,0.00214
