epsilon,run,seed,defense_rate,attack_success_rate
2.0,1,42,0.9550,0.04495272043170454
2.0,2,43,0.9576,0.042427842962522895
2.0,3,44,0.9568,0.04317045398287044
2.0,4,45,0.9585,0.041487202336749344
2.0,5,46,0.9574,0.042627122791562666
4.0,1,42,0.9550,0.04495272043170454
4.0,2,43,0.9576,0.042427842962522895
4.0,3,44,0.9568,0.04317045398287044
4.0,4,45,0.9585,0.041487202336749344
4.0,5,46,0.9574,0.042627122791562666
6.0,1,42,0.9550,0.04495272043170454
6.0,2,43,0.9576,0.042427842962522895
6.0,3,44,0.9568,0.04317045398287044
6.0,4,45,0.9585,0.041487202336749344
6.0,5,46,0.9574,0.042627122791562666
8.0,1,42,0.9550,0.04500222783306104
8.0,2,43,0.9570,0.042972424377444425
8.0,3,44,0.9565,0.043467498391009454
8.0,4,45,0.9580,0.042031783751670874
8.0,5,46,0.9569,0.043116527186414136
10.0,1,42,0.8241,0.17594930442101095
10.0,2,43,0.8269,0.17312738254369028
10.0,3,44,0.8275,0.17248378632605574
10.0,4,45,0.8237,0.17629585623050645
10.0,5,46,0.8286,0.17137809187279152
12.0,1,42,0.4167,0.5833457101836724
12.0,2,43,0.4185,0.5814644289321254
12.0,3,44,0.4171,0.5828506361701075
12.0,4,45,0.4168,0.583197187979603
12.0,5,46,0.4176,0.5823555621565424
14.0,1,42,0.4141,0.585870587652854
14.0,2,43,0.4146,0.5854250210406455
14.0,3,44,0.4148,0.5852269914352196
14.0,4,45,0.4126,0.5873558096935492
14.0,5,46,0.4143,0.5857220654487846
16.0,1,42,0.4141,0.585870587652854
16.0,2,43,0.4146,0.5854250210406455
16.0,3,44,0.4148,0.5852269914352196
16.0,4,45,0.4126,0.5874053170949057
16.0,5,46,0.4143,0.5857220654487846
18.0,1,42,0.4141,0.585870587652854
18.0,2,43,0.4146,0.5854250210406455
18.0,3,44,0.4148,0.5852269914352196
18.0,4,45,0.4126,0.5874053170949057
18.0,5,46,0.4143,0.5857220654487846
8.5,1,42,0.9539,0.0460913906629041
8.5,2,43,0.9560,0.044012079805930984
8.5,3,44,0.9549,0.04505173523441754
8.5,4,45,0.9574,0.042625872567948905
8.5,5,46,0.9564,0.04364028635873296
9.0,1,42,0.9491,0.05094311599584138
9.0,2,43,0.9510,0.04896281994158127
9.0,3,44,0.9498,0.05015099757413733
9.0,4,45,0.9522,0.0478241497103817
9.0,5,46,0.9521,0.047850412249705536
9.5,1,42,0.9259,0.07411257983068469
9.5,2,43,0.9276,0.07242932818456359
9.5,3,44,0.9296,0.07039952472894698
9.5,4,45,0.9281,0.07188474676964206
9.5,5,46,0.9278,0.0721871482405912
10.5,1,42,0.6065,0.3935343333828407
10.5,2,43,0.6130,0.38699935640378236
10.5,3,44,0.6081,0.3919005891380761
10.5,4,45,0.6152,0.38482103074409624
10.5,5,46,0.6074,0.3926432001584237
11.0,1,42,0.4743,0.5256695876033467
11.0,2,43,0.4723,0.5276993910589634
11.0,3,44,0.4767,0.5232932323382345
11.0,4,45,0.4697,0.530323283330858
11.0,5,46,0.4707,0.5293331353037279
11.5,1,42,0.4271,0.5729491558988069
11.5,2,43,0.4283,0.5716619634635378
11.5,3,44,0.4299,0.5701272340214862
11.5,4,45,0.4265,0.5734937373137284
11.5,5,46,0.4278,0.5721570374771028
20,1,42,0.4141,0.585870587652854
20,2,43,0.4146,0.5854250210406455
20,3,44,0.4148,0.5852269914352196
20,4,45,0.4126,0.5874053170949057
20,5,46,0.4143,0.5857220654487846
0.0,1,42,0.9550,0.04495272043170454
0.0,2,43,0.9576,0.042427842962522895
0.0,3,44,0.9568,0.04317045398287044
0.0,4,45,0.9585,0.041487202336749344
0.0,5,46,0.9574,0.042627122791562666
