epsilon,run,seed,defense_rate,attack_success_rate
2.0,1,42,0.9550,0.04495272043170454
2.0,2,43,0.9576,0.042427842962522895
2.0,3,44,0.9568,0.04317045398287044
2.0,4,45,0.9585,0.041487202336749344
2.0,5,46,0.9574,0.042627122791562666
4.0,1,42,0.9550,0.04495272043170454
4.0,2,43,0.9576,0.042427842962522895
4.0,3,44,0.9568,0.04317045398287044
4.0,4,45,0.9585,0.041487202336749344
4.0,5,46,0.9574,0.042627122791562666
6.0,1,42,0.9550,0.04495272043170454
6.0,2,43,0.9576,0.042427842962522895
6.0,3,44,0.9568,0.04317045398287044
6.0,4,45,0.9585,0.041487202336749344
6.0,5,46,0.9574,0.042627122791562666
8.0,1,42,0.9550,0.04495272043170454
8.0,2,43,0.9576,0.042427842962522895
8.0,3,44,0.9568,0.04321996138422694
8.0,4,45,0.9585,0.041487202336749344
8.0,5,46,0.9573,0.04267606323104781
10.0,1,42,0.9488,0.05119065300262389
10.0,2,43,0.9514,0.04861626813208575
10.0,3,44,0.9515,0.04851725332937274
10.0,4,45,0.9514,0.04861626813208575
10.0,5,46,0.9514,0.048646796848235696
10.5,1,42,0.9268,0.07322144660626764
10.5,2,43,0.9288,0.07119164315065102
10.5,3,44,0.9273,0.0727263725927026
10.5,4,45,0.9285,0.07148868755879004
10.5,5,46,0.9273,0.07274775878116886
11.0,1,42,0.8259,0.17411753057082033
11.0,2,43,0.8229,0.17708797465221052
11.0,3,44,0.8226,0.17743452646170602
11.0,4,45,0.8215,0.17852368929154908
11.0,5,46,0.8273,0.17265725288831835
11.5,1,42,0.5995,0.40046536957275114
11.5,2,43,0.6048,0.3951680776276053
11.5,3,44,0.6026,0.39744541809000444
11.5,4,45,0.6017,0.398287043913065
11.5,5,46,0.6024,0.3976434476954305
12.0,1,42,0.4515,0.548542007030051
12.0,2,43,0.4558,0.5442348631120353
12.0,3,44,0.4577,0.5422545670577751
12.0,4,45,0.4561,0.5438883113025398
12.0,5,46,0.4597,0.5403237784048716
12.5,1,42,0.4126,0.5873558096935492
12.5,2,43,0.4143,0.5856725580474281
12.5,3,44,0.4154,0.5846329026189415
12.5,4,45,0.4134,0.5866131986732016
12.5,5,46,0.4164,0.583593247190455
13,1,42,0.4027,0.5973067973662063
13,2,43,0.4029,0.5971087677607803
13,3,44,0.4038,0.5961681271350067
13,4,45,0.4021,0.5979008861824843
13,5,46,0.4056,0.5943858606861726
13.5,1,42,0.4003,0.5996831526313183
13.5,2,43,0.4013,0.5986930046041883
13.5,3,44,0.4012,0.5987920194069013
13.5,4,45,0.4006,0.5993861082231794
13.5,5,46,0.4032,0.5968117233526412
14,1,42,0.3997,0.6003267488489529
14,2,43,0.4000,0.5999801970394574
14,3,44,0.4001,0.5999306896381009
14,4,45,0.3998,0.6002277340462399
14,5,46,0.4023,0.5977028565770582
16,1,42,0.3995,0.6005247784543789
16,2,43,0.3999,0.6000792118421704
16,3,44,0.4000,0.5999801970394574
16,4,45,0.3997,0.6003267488489529
16,5,46,0.4022,0.5978018713797713
18,1,42,0.3995,0.6005247784543789
18,2,43,0.3999,0.6000792118421704
18,3,44,0.4000,0.5999801970394574
18,4,45,0.3997,0.6003267488489529
18,5,46,0.4022,0.5978018713797713
20,1,42,0.3995,0.6005247784543789
20,2,43,0.3999,0.6000792118421704
20,3,44,0.4000,0.5999801970394574
20,4,45,0.3997,0.6003267488489529
20,5,46,0.4022,0.5978018713797713
22,1,42,0.3995,0.6005247784543789
22,2,43,0.3999,0.6000792118421704
22,3,44,0.4000,0.5999801970394574
22,4,45,0.3997,0.6003267488489529
22,5,46,0.4022,0.5978018713797713
0.0,1,42,0.9550,0.04495272043170454
0.0,2,43,0.9576,0.042427842962522895
0.0,3,44,0.9568,0.04317045398287044
0.0,4,45,0.9585,0.041487202336749344
0.0,5,46,0.9574,0.042627122791562666
