epsilon,run,seed,defense_rate,attack_success_rate
0.00,1,42,0.9735,0.026544108724669335
0.00,2,43,0.9728,0.027242441337460167
0.00,3,44,0.9730,0.026969998209871605
0.00,4,45,0.9730,0.026952391472440076
0.00,5,46,0.9729,0.027072507369252742
2.00,1,42,0.9735,0.026544108724669335
2.00,2,43,0.9728,0.027242441337460167
2.00,3,44,0.9730,0.026969998209871605
2.00,4,45,0.9730,0.026952391472440076
2.00,5,46,0.9729,0.027072507369252742
4.00,1,42,0.9735,0.026544108724669335
4.00,2,43,0.9728,0.027242441337460167
4.00,3,44,0.9730,0.026969998209871605
4.00,4,45,0.9730,0.026952391472440076
4.00,5,46,0.9729,0.027072507369252742
6.00,1,42,0.9735,0.026544108724669335
6.00,2,43,0.9728,0.027238629606476893
6.00,3,44,0.9730,0.026969998209871605
6.00,4,45,0.9730,0.026952391472440076
6.00,5,46,0.9729,0.027072507369252742
8.00,1,42,0.9734,0.02655548477126562
8.00,2,43,0.9727,0.02725387653040999
8.00,3,44,0.9730,0.02699665969659228
8.00,4,45,0.9730,0.02696000944628757
8.00,5,46,0.9729,0.027080104537028596
10.00,1,42,0.9665,0.03348111851511922
10.00,2,43,0.9659,0.034057816335554304
10.00,3,44,0.9659,0.03405364019700831
10.00,4,45,0.9660,0.03397616335983118
10.00,5,46,0.9653,0.03467030523703284
12.00,1,42,0.4155,0.584528946285087
12.00,2,43,0.4154,0.5845594401329531
12.00,3,44,0.4151,0.5848720020735817
12.00,4,45,0.4150,0.5849787305411134
12.00,5,46,0.4156,0.5843609171495072
14.00,1,42,0.3553,0.6447009315870523
14.00,2,43,0.3558,0.6442282769451263
14.00,3,44,0.3554,0.6446475673532864
14.00,4,45,0.3553,0.6446666260082028
14.00,5,46,0.3554,0.6445637092716544
16.00,1,42,0.3551,0.6449029533291658
16.00,2,43,0.3556,0.6444264869562566
16.00,3,44,0.3552,0.644834342171467
16.00,4,45,0.3551,0.6448838946742494
16.00,5,46,0.3553,0.6447161785109854
7.00,1,42,0.9735,0.026544108724669335
7.00,2,43,0.9728,0.027242441337460167
7.00,3,44,0.9730,0.026973806993688846
7.00,4,45,0.9730,0.026952391472440076
7.00,5,46,0.9729,0.02707630595314067
9.00,1,42,0.9730,0.026950252397874623
9.00,2,43,0.9724,0.027581685394971564
9.00,3,44,0.9727,0.027297553618154186
9.00,4,45,0.9727,0.02726853738711115
9.00,5,46,0.9726,0.027414379919166135
10.50,1,42,0.9398,0.06015474328408073
10.50,2,43,0.9399,0.06005000991050056
10.50,3,44,0.9392,0.06081722068768454
10.50,4,45,0.9406,0.05940876904969585
10.50,5,46,0.9398,0.060169861868480556
11.00,1,42,0.8215,0.17854047890535918
11.00,2,43,0.8191,0.1809276228520896
11.00,3,44,0.8187,0.181327095825492
11.00,4,45,0.8202,0.1798305943676247
11.00,5,46,0.8190,0.1810115553052815
11.50,1,42,0.5651,0.43491946147602517
11.50,2,43,0.5658,0.4341523472639395
11.50,3,44,0.5649,0.4351415319061358
11.50,4,45,0.5643,0.4356844259327711
11.50,5,46,0.5647,0.43529295230548265
13.00,1,42,0.3583,0.6416553585314163
13.00,2,43,0.3592,0.6407557900193636
13.00,3,44,0.3585,0.6414609602512693
13.00,4,45,0.3585,0.6415219479470017
13.00,5,46,0.3589,0.641053105036059
15.00,1,42,0.3551,0.6448953298671993
15.00,2,43,0.3556,0.6444226752252733
15.00,3,44,0.3552,0.6448305304404837
15.00,4,45,0.3551,0.6448610242883498
15.00,5,46,0.3553,0.6447047433180356
17.00,1,42,0.3551,0.6449029533291658
17.00,2,43,0.3556,0.6444264869562566
17.00,3,44,0.3552,0.644834342171467
17.00,4,45,0.3551,0.6448838946742494
17.00,5,46,0.3553,0.6447161785109854
18.00,1,42,0.3551,0.6449029533291658
18.00,2,43,0.3556,0.6444264869562566
18.00,3,44,0.3552,0.644834342171467
18.00,4,45,0.3551,0.6448838946742494
18.00,5,46,0.3553,0.6447161785109854
19.00,1,42,0.3551,0.6449029533291658
19.00,2,43,0.3556,0.6444264869562566
19.00,3,44,0.3552,0.644834342171467
19.00,4,45,0.3551,0.6448838946742494
19.00,5,46,0.3553,0.6447161785109854
20.00,1,42,0.3551,0.6449029533291658
20.00,2,43,0.3556,0.6444264869562566
20.00,3,44,0.3552,0.644834342171467
20.00,4,45,0.3551,0.6448838946742494
20.00,5,46,0.3553,0.6447161785109854
21.00,1,42,0.3551,0.6449029533291658
21.00,2,43,0.3556,0.6444264869562566
21.00,3,44,0.3552,0.644834342171467
21.00,4,45,0.3551,0.6448838946742494
21.00,5,46,0.3553,0.6447161785109854
22.00,1,42,0.3551,0.6449029533291658
22.00,2,43,0.3556,0.6444264869562566
22.00,3,44,0.3552,0.644834342171467
22.00,4,45,0.3551,0.6448838946742494
22.00,5,46,0.3553,0.6447161785109854
