epsilon,run,seed,topk,attack_success_rate,defense_rate
0.0,1,42,5,0.00035,0.99965
0.0,2,43,5,0.000354,0.999646
0.0,3,44,5,0.000324,0.999676
0.0,4,45,5,0.000305,0.999695
0.0,5,46,5,0.000327,0.999673
2.0,1,42,5,0.00035,0.99965
2.0,2,43,5,0.000354,0.999646
2.0,3,44,5,0.000324,0.999676
2.0,4,45,5,0.000305,0.999695
2.0,5,46,5,0.000327,0.999673
4.0,1,42,5,0.00035,0.99965
4.0,2,43,5,0.000354,0.999646
4.0,3,44,5,0.000324,0.999676
4.0,4,45,5,0.000305,0.999695
4.0,5,46,5,0.000327,0.999673
6.0,1,42,5,0.000522,0.999478
6.0,2,43,5,0.000506,0.999494
6.0,3,44,5,0.000484,0.999516
6.0,4,45,5,0.000446,0.999554
6.0,5,46,5,0.000476,0.999524
8.0,1,42,5,0.050413,0.949587
8.0,2,43,5,0.047679,0.952321
8.0,3,44,5,0.048734,0.951266
8.0,4,45,5,0.048837,0.951163
8.0,5,46,5,0.048928,0.951072
10.0,1,42,5,0.875812,0.124188
10.0,2,43,5,0.87529,0.12471
10.0,3,44,5,0.873831,0.126169
10.0,4,45,5,0.876786,0.123214
10.0,5,46,5,0.875202,0.124798
12.0,1,42,5,0.924066,0.075934
12.0,2,43,5,0.923022,0.076978
12.0,3,44,5,0.922139,0.077861
12.0,4,45,5,0.92461,0.07539
12.0,5,46,5,0.923754,0.076246
14.0,1,42,5,0.924211,0.075789
14.0,2,43,5,0.923171,0.076829
14.0,3,44,5,0.922333,0.077667
14.0,4,45,5,0.92477,0.07523
14.0,5,46,5,0.923898,0.076102
16.0,1,42,5,0.924211,0.075789
16.0,2,43,5,0.923171,0.076829
16.0,3,44,5,0.922333,0.077667
16.0,4,45,5,0.92477,0.07523
16.0,5,46,5,0.923898,0.076102
18.0,1,42,5,0.924211,0.075789
18.0,2,43,5,0.923171,0.076829
18.0,3,44,5,0.922333,0.077667
18.0,4,45,5,0.92477,0.07523
18.0,5,46,5,0.923898,0.076102
