epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,5,0.000556,0.999444
2.0,2,43,5,0.00067,0.99933
2.0,3,44,5,0.0008,0.9992
2.0,4,45,5,0.00056,0.99944
2.0,5,46,5,0.000605,0.999395
4.0,1,42,5,0.001618,0.998382
4.0,2,43,5,0.001477,0.998523
4.0,3,44,5,0.001679,0.998321
4.0,4,45,5,0.001588,0.998412
4.0,5,46,5,0.001538,0.998462
6.0,1,42,5,0.004661,0.995339
6.0,2,43,5,0.004589,0.995411
6.0,3,44,5,0.004451,0.995549
6.0,4,45,5,0.004429,0.995571
6.0,5,46,5,0.004516,0.995484
8.0,1,42,5,0.015932,0.984068
8.0,2,43,5,0.01492,0.98508
8.0,3,44,5,0.015948,0.984052
8.0,4,45,5,0.015594,0.984406
8.0,5,46,5,0.015677,0.984323
10.0,1,42,5,0.058376,0.941624
10.0,2,43,5,0.056217,0.943783
10.0,3,44,5,0.058578,0.941422
10.0,4,45,5,0.058722,0.941278
10.0,5,46,5,0.058216,0.941784
12.0,1,42,5,0.198428,0.801572
12.0,2,43,5,0.193493,0.806507
12.0,3,44,5,0.199609,0.800391
12.0,4,45,5,0.197248,0.802752
12.0,5,46,5,0.197503,0.802497
14.0,1,42,5,0.486282,0.513718
14.0,2,43,5,0.483601,0.516399
14.0,3,44,5,0.485338,0.514662
14.0,4,45,5,0.484058,0.515942
14.0,5,46,5,0.487489,0.512511
16.0,1,42,5,0.775529,0.224471
16.0,2,43,5,0.773427,0.226573
16.0,3,44,5,0.771817,0.228183
16.0,4,45,5,0.773016,0.226984
16.0,5,46,5,0.776531,0.223469
18.0,1,42,5,0.924211,0.075789
18.0,2,43,5,0.923171,0.076829
18.0,3,44,5,0.922333,0.077667
18.0,4,45,5,0.92477,0.07523
18.0,5,46,5,0.923898,0.076102
20.0,1,42,5,0.976322,0.023678
20.0,2,43,5,0.975206,0.024794
20.0,3,44,5,0.976307,0.023693
20.0,4,45,5,0.976257,0.023743
20.0,5,46,5,0.975865,0.024135
22.0,1,42,5,0.992171,0.007829
22.0,2,43,5,0.991508,0.008492
22.0,3,44,5,0.992217,0.007783
22.0,4,45,5,0.992312,0.007688
22.0,5,46,5,0.992091,0.007909
24.0,1,42,5,0.997247,0.002753
24.0,2,43,5,0.997087,0.002913
24.0,3,44,5,0.997426,0.002574
24.0,4,45,5,0.997262,0.002738
24.0,5,46,5,0.997304,0.002696
