epsilon,run,seed,defense_rate,attack_success_rate
2.00,1,42,0.9550,0.04495272043170454
2.00,2,43,0.9576,0.042427842962522895
2.00,3,44,0.9568,0.04317045398287044
2.00,4,45,0.9585,0.041487202336749344
2.00,5,46,0.9574,0.042627122791562666
4.00,1,42,0.9550,0.04495272043170454
4.00,2,43,0.9576,0.042427842962522895
4.00,3,44,0.9568,0.04317045398287044
4.00,4,45,0.9585,0.041487202336749344
4.00,5,46,0.9574,0.042627122791562666
6.00,1,42,0.9550,0.04500222783306104
6.00,2,43,0.9576,0.042427842962522895
6.00,3,44,0.9568,0.04317045398287044
6.00,4,45,0.9585,0.041536709738105845
6.00,5,46,0.9574,0.042627122791562666
8.00,1,42,0.9495,0.05049754938363285
8.00,2,43,0.9504,0.0495569087578593
8.00,3,44,0.9511,0.04891331254022476
8.00,4,45,0.9525,0.04752710530224268
8.00,5,46,0.9516,0.04843542761703591
10.00,1,42,0.5183,0.48165750779741573
10.00,2,43,0.5173,0.4826971632259023
10.00,3,44,0.5224,0.477647408287539
10.00,4,45,0.5148,0.4852220406950839
10.00,5,46,0.5214,0.4786067193675889
12.00,1,42,0.4642,0.5357690974800733
12.00,2,43,0.4682,0.531808505371553
12.00,3,44,0.4671,0.5328976682013961
12.00,4,45,0.4623,0.5376503787316204
12.00,5,46,0.4651,0.5349274716570127
14.00,1,42,0.4641,0.5359176196841428
14.00,2,43,0.4682,0.531808505371553
14.00,3,44,0.4669,0.5330956978068221
14.00,4,45,0.4621,0.5378979157384028
14.00,5,46,0.4648,0.5351750086637952
16.00,1,42,0.4641,0.5359176196841428
16.00,2,43,0.4682,0.531808505371553
16.00,3,44,0.4669,0.5330956978068221
16.00,4,45,0.4621,0.5378979157384028
16.00,5,46,0.4648,0.5351750086637952
8.5,1,42,0.9295,0.07054804693301649
8.5,2,43,0.9301,0.06985494331402545
8.5,3,44,0.9268,0.07317193920491114
8.5,4,45,0.9329,0.06708252883806129
8.5,5,46,0.9312,0.06877030619277345
9.0,1,42,0.8390,0.1610475766127036
9.0,2,43,0.8337,0.1662953611564929
9.0,3,44,0.8410,0.15896826575573048
9.0,4,45,0.8358,0.16421605029951977
9.0,5,46,0.8408,0.15915236737302718
9.5,1,42,0.6444,0.3556116639437596
9.5,2,43,0.6480,0.3519976236447349
9.5,3,44,0.6465,0.3535323530867865
9.5,4,45,0.6434,0.35660181197088964
9.5,5,46,0.6440,0.3559880092387832
18,1,42,0.4641,0.5359176196841428
18,2,43,0.4682,0.531808505371553
18,3,44,0.4669,0.5330956978068221
18,4,45,0.4621,0.5378979157384028
18,5,46,0.4648,0.5351750086637952
0.0,1,42,0.9550,0.04495272043170454
0.0,2,43,0.9576,0.042427842962522895
0.0,3,44,0.9568,0.04317045398287044
0.0,4,45,0.9585,0.041487202336749344
0.0,5,46,0.9574,0.042627122791562666
