epsilon,run,seed,accuracy
2.0,1,42,0.49655963302752293
2.0,2,43,0.49770642201834864
2.0,3,44,0.49426605504587157
2.0,4,45,0.5045871559633027
2.0,5,46,0.5126146788990825
4.0,1,42,0.49655963302752293
4.0,2,43,0.49770642201834864
4.0,3,44,0.49426605504587157
4.0,4,45,0.5045871559633027
4.0,5,46,0.5126146788990825
6.0,1,42,0.49655963302752293
6.0,2,43,0.49770642201834864
6.0,3,44,0.49426605504587157
6.0,4,45,0.5045871559633027
6.0,5,46,0.5126146788990825
8.0,1,42,0.5034403669724771
8.0,2,43,0.4919724770642202
8.0,3,44,0.48853211009174313
8.0,4,45,0.518348623853211
8.0,5,46,0.5
10.0,1,42,0.4908256880733945
10.0,2,43,0.4896788990825688
10.0,3,44,0.5149082568807339
10.0,4,45,0.5160550458715596
10.0,5,46,0.4782110091743119
12.0,1,42,0.768348623853211
12.0,2,43,0.7522935779816514
12.0,3,44,0.7775229357798165
12.0,4,45,0.7431192660550459
12.0,5,46,0.7603211009174312
14.0,1,42,0.9254587155963303
14.0,2,43,0.9254587155963303
14.0,3,44,0.9231651376146789
14.0,4,45,0.9254587155963303
14.0,5,46,0.9208715596330275
16.0,1,42,0.9231651376146789
16.0,2,43,0.9243119266055045
16.0,3,44,0.9243119266055045
16.0,4,45,0.9231651376146789
16.0,5,46,0.9231651376146789
18.0,1,42,0.9231651376146789
18.0,2,43,0.9231651376146789
18.0,3,44,0.9220183486238532
18.0,4,45,0.9254587155963303
18.0,5,46,0.9311926605504587
20.0,1,42,0.9231651376146789
20.0,2,43,0.9231651376146789
20.0,3,44,0.9220183486238532
20.0,4,45,0.9254587155963303
20.0,5,46,0.9311926605504587
22.0,1,42,0.9231651376146789
22.0,2,43,0.9231651376146789
22.0,3,44,0.9220183486238532
22.0,4,45,0.9254587155963303
22.0,5,46,0.9311926605504587
10.5,1,42,0.49311926605504586
10.5,2,43,0.47706422018348627
10.5,3,44,0.5045871559633027
10.5,4,45,0.5103211009174312
10.5,5,46,0.5034403669724771
11,1,42,0.481651376146789
11,2,43,0.5045871559633027
11,3,44,0.5240825688073395
11,4,45,0.5435779816513762
11,5,46,0.5126146788990825
11.5,1,42,0.5894495412844036
11.5,2,43,0.6043577981651376
11.5,3,44,0.5963302752293578
11.5,4,45,0.6238532110091743
11.5,5,46,0.6135321100917431
12.5,1,42,0.8807339449541285
12.5,2,43,0.8841743119266054
12.5,3,44,0.8669724770642202
12.5,4,45,0.8715596330275229
12.5,5,46,0.8807339449541285
13,1,42,0.9174311926605505
13,2,43,0.9036697247706422
13,3,44,0.9277522935779816
13,4,45,0.9105504587155964
13,5,46,0.9094036697247706
13.5,1,42,0.9231651376146789
13.5,2,43,0.9139908256880734
13.5,3,44,0.9254587155963303
13.5,4,45,0.9208715596330275
13.5,5,46,0.9277522935779816
24,1,42,0.9231651376146789
24,2,43,0.9231651376146789
24,3,44,0.9220183486238532
24,4,45,0.9254587155963303
24,5,46,0.9311926605504587
0,1,42,0.49655963302752293
0,2,43,0.49770642201834864
0,3,44,0.49426605504587157
0,4,45,0.5045871559633027
0,5,46,0.5126146788990825
