epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,5,0.000297,0.999703
2.0,2,43,5,0.000198,0.999802
2.0,3,44,5,0.000347,0.999653
2.0,4,45,5,0.000446,0.999554
2.0,5,46,5,0.000297,0.999703
4.0,1,42,5,0.000297,0.999703
4.0,2,43,5,0.000198,0.999802
4.0,3,44,5,0.000347,0.999653
4.0,4,45,5,0.000446,0.999554
4.0,5,46,5,0.000297,0.999703
6.0,1,42,5,0.000446,0.999554
6.0,2,43,5,0.000248,0.999752
6.0,3,44,5,0.000545,0.999455
6.0,4,45,5,0.000446,0.999554
6.0,5,46,5,0.000594,0.999406
8.0,1,42,5,0.051587,0.948413
8.0,2,43,5,0.045398,0.954602
8.0,3,44,5,0.050399,0.949601
8.0,4,45,5,0.049012,0.950988
8.0,5,46,5,0.047973,0.952027
8.5,1,42,5,0.179761,0.820239
8.5,2,43,5,0.175603,0.824397
8.5,3,44,5,0.181791,0.818209
8.5,4,45,5,0.176197,0.823803
8.5,5,46,5,0.177583,0.822417
9.0,1,42,5,0.463538,0.536462
9.0,2,43,5,0.471905,0.528095
9.0,3,44,5,0.465271,0.534729
9.0,4,45,5,0.465716,0.534284
9.0,5,46,5,0.46334,0.53666
9.5,1,42,5,0.752958,0.247042
9.5,2,43,5,0.750829,0.249171
9.5,3,44,5,0.752909,0.247091
9.5,4,45,5,0.75479,0.24521
9.5,5,46,5,0.757859,0.242141
10.0,1,42,5,0.880737,0.119263
10.0,2,43,5,0.884103,0.115897
10.0,3,44,5,0.881776,0.118224
10.0,4,45,5,0.884648,0.115352
10.0,5,46,5,0.880539,0.119461
12.0,1,42,5,0.931828,0.068172
12.0,2,43,5,0.930739,0.069261
12.0,3,44,5,0.931135,0.068865
12.0,4,45,5,0.934205,0.065795
12.0,5,46,5,0.930046,0.069954
14.0,1,42,5,0.932076,0.067924
14.0,2,43,5,0.930739,0.069261
14.0,3,44,5,0.931333,0.068667
14.0,4,45,5,0.934502,0.065498
14.0,5,46,5,0.930294,0.069706
16.0,1,42,5,0.932076,0.067924
16.0,2,43,5,0.930739,0.069261
16.0,3,44,5,0.931333,0.068667
16.0,4,45,5,0.934502,0.065498
16.0,5,46,5,0.930294,0.069706
18.0,1,42,5,0.932076,0.067924
18.0,2,43,5,0.930739,0.069261
18.0,3,44,5,0.931333,0.068667
18.0,4,45,5,0.934502,0.065498
18.0,5,46,5,0.930294,0.069706
0.0,1,42,5,0.000297,0.999703
0.0,2,43,5,0.000198,0.999802
0.0,3,44,5,0.000347,0.999653
0.0,4,45,5,0.000446,0.999554
0.0,5,46,5,0.000297,0.999703
