epsilon,run,seed,accuracy
2.0,1,42,0.49655963302752293
2.0,2,43,0.49770642201834864
2.0,3,44,0.49426605504587157
2.0,4,45,0.5045871559633027
2.0,5,46,0.5126146788990825
4.0,1,42,0.47477064220183485
4.0,2,43,0.4908256880733945
4.0,3,44,0.47477064220183485
4.0,4,45,0.5114678899082569
4.0,5,46,0.5091743119266054
6.0,1,42,0.46788990825688076
6.0,2,43,0.4827981651376147
6.0,3,44,0.48394495412844035
6.0,4,45,0.5091743119266054
6.0,5,46,0.4988532110091743
8.0,1,42,0.7155963302752294
8.0,2,43,0.7006880733944955
8.0,3,44,0.7110091743119266
8.0,4,45,0.6857798165137615
8.0,5,46,0.7213302752293578
10.0,1,42,0.8589449541284404
10.0,2,43,0.8692660550458715
10.0,3,44,0.8497706422018348
10.0,4,45,0.8635321100917431
10.0,5,46,0.8600917431192661
12.0,1,42,0.8623853211009175
12.0,2,43,0.8681192660550459
12.0,3,44,0.8520642201834863
12.0,4,45,0.8681192660550459
12.0,5,46,0.8600917431192661
14.0,1,42,0.8623853211009175
14.0,2,43,0.8704128440366973
14.0,3,44,0.8555045871559633
14.0,4,45,0.8589449541284404
14.0,5,46,0.8577981651376146
8.5,1,42,0.8142201834862385
8.5,2,43,0.8038990825688074
8.5,3,44,0.8188073394495413
8.5,4,45,0.801605504587156
8.5,5,46,0.819954128440367
9,1,42,0.8577981651376146
9,2,43,0.8509174311926605
9,3,44,0.8291284403669725
9,4,45,0.8532110091743119
9,5,46,0.8577981651376146
9.5,1,42,0.8612385321100917
9.5,2,43,0.8600917431192661
9.5,3,44,0.8486238532110092
9.5,4,45,0.8623853211009175
9.5,5,46,0.8646788990825688
6.5,1,42,0.4805045871559633
6.5,2,43,0.48509174311926606
6.5,3,44,0.4988532110091743
6.5,4,45,0.49655963302752293
6.5,5,46,0.49426605504587157
7,1,42,0.4736238532110092
7,2,43,0.5378440366972477
7,3,44,0.5034403669724771
7,4,45,0.5172018348623854
7,5,46,0.5194954128440367
7.5,1,42,0.5711009174311926
7.5,2,43,0.5768348623853211
7.5,3,44,0.5825688073394495
7.5,4,45,0.6032110091743119
7.5,5,46,0.5745412844036697
16,1,42,0.8623853211009175
16,2,43,0.8704128440366973
16,3,44,0.8555045871559633
16,4,45,0.8589449541284404
16,5,46,0.8577981651376146
0,1,42,0.49655963302752293
0,2,43,0.49770642201834864
0,3,44,0.49426605504587157
0,4,45,0.5045871559633027
0,5,46,0.5126146788990825
