epsilon,run,seed,topk,attack_success_rate,defense_rate
0.0,1,42,5,0.00035,0.99965
0.0,2,43,5,0.000354,0.999646
0.0,3,44,5,0.000324,0.999676
0.0,4,45,5,0.000305,0.999695
0.0,5,46,5,0.000327,0.999673
2.0,1,42,5,0.00035,0.99965
2.0,2,43,5,0.000354,0.999646
2.0,3,44,5,0.000324,0.999676
2.0,4,45,5,0.000305,0.999695
2.0,5,46,5,0.000327,0.999673
4.0,1,42,5,0.00035,0.99965
4.0,2,43,5,0.000354,0.999646
4.0,3,44,5,0.000324,0.999676
4.0,4,45,5,0.000305,0.999695
4.0,5,46,5,0.000327,0.999673
6.0,1,42,5,0.00035,0.99965
6.0,2,43,5,0.000354,0.999646
6.0,3,44,5,0.000324,0.999676
6.0,4,45,5,0.000305,0.999695
6.0,5,46,5,0.000327,0.999673
8.0,1,42,5,0.000358,0.999642
8.0,2,43,5,0.000369,0.999631
8.0,3,44,5,0.000335,0.999665
8.0,4,45,5,0.000312,0.999688
8.0,5,46,5,0.000335,0.999665
10.0,1,42,5,0.003389,0.996611
10.0,2,43,5,0.003359,0.996641
10.0,3,44,5,0.003347,0.996653
10.0,4,45,5,0.003244,0.996756
10.0,5,46,5,0.003164,0.996836
12.0,1,42,5,0.498345,0.501655
12.0,2,43,5,0.498955,0.501045
12.0,3,44,5,0.499419,0.500581
12.0,4,45,5,0.497028,0.502972
12.0,5,46,5,0.499229,0.500771
14.0,1,42,5,0.994166,0.005834
14.0,2,43,5,0.994193,0.005807
14.0,3,44,5,0.994437,0.005563
14.0,4,45,5,0.994082,0.005918
14.0,5,46,5,0.994159,0.005841
16.0,1,42,5,0.997235,0.002765
16.0,2,43,5,0.997072,0.002928
16.0,3,44,5,0.997418,0.002582
16.0,4,45,5,0.997251,0.002749
16.0,5,46,5,0.997293,0.002707
18.0,1,42,5,0.997247,0.002753
18.0,2,43,5,0.997087,0.002913
18.0,3,44,5,0.997426,0.002574
18.0,4,45,5,0.997262,0.002738
18.0,5,46,5,0.997304,0.002696
20.0,1,42,5,0.997247,0.002753
20.0,2,43,5,0.997087,0.002913
20.0,3,44,5,0.997426,0.002574
20.0,4,45,5,0.997262,0.002738
20.0,5,46,5,0.997304,0.002696
22.0,1,42,5,0.997247,0.002753
22.0,2,43,5,0.997087,0.002913
22.0,3,44,5,0.997426,0.002574
22.0,4,45,5,0.997262,0.002738
22.0,5,46,5,0.997304,0.002696
24.0,1,42,5,0.997247,0.002753
24.0,2,43,5,0.997087,0.002913
24.0,3,44,5,0.997426,0.002574
24.0,4,45,5,0.997262,0.002738
24.0,5,46,5,0.997304,0.002696
