epsilon,run,seed,accuracy
0.00,1,42,0.5015559216547685
0.00,2,43,0.5136371956800293
0.00,3,44,0.5061321618158521
0.00,4,45,0.527732015376167
0.00,5,46,0.5354200988467874
2.00,1,42,0.5015559216547685
2.00,2,43,0.5136371956800293
2.00,3,44,0.5061321618158521
2.00,4,45,0.527732015376167
2.00,5,46,0.5354200988467874
4.00,1,42,0.5198608822991031
4.00,2,43,0.5154676917444627
4.00,3,44,0.5075965586673988
4.00,4,45,0.5070474098480688
4.00,5,46,0.5310269082921472
6.00,1,42,0.5215083287570932
6.00,2,43,0.5174812374153396
6.00,3,44,0.5200439319055464
6.00,4,45,0.5286472634083836
6.00,5,46,0.5240710232473
8.00,1,42,0.6635548233571298
8.00,2,43,0.6617243272926964
8.00,3,44,0.648361706022332
8.00,4,45,0.6642870217829032
8.00,5,46,0.6582463847702728
10.00,1,42,0.8341570565623284
10.00,2,43,0.8343401061687717
10.00,3,44,0.8261028738788212
10.00,4,45,0.8319604612850082
10.00,5,46,0.8378180486911954
12.00,1,42,0.8400146439685154
12.00,2,43,0.8361706022332052
12.00,3,44,0.8200622368661907
12.00,4,45,0.832875709317225
12.00,5,46,0.8352553542009885
14.00,1,42,0.832875709317225
14.00,2,43,0.8354384038074318
14.00,3,44,0.8209774848984075
14.00,4,45,0.8372688998718653
14.00,5,46,0.8378180486911954
16.00,1,42,0.832875709317225
16.00,2,43,0.8354384038074318
16.00,3,44,0.8209774848984075
16.00,4,45,0.8372688998718653
16.00,5,46,0.8378180486911954
7,1,42,0.5204100311184331
7,2,43,0.5183964854475562
7,3,44,0.5075965586673988
7,4,45,0.5273659161632802
7,5,46,0.5130880468606992
9,1,42,0.8123741533955702
9,2,43,0.8222588321435109
9,3,44,0.8110928061504667
9,4,45,0.8229910305692842
9,5,46,0.8229910305692842
11,1,42,0.8372688998718653
11,2,43,0.8343401061687717
11,3,44,0.8268350723045945
11,4,45,0.8374519494783086
11,5,46,0.8390993959362988
13,1,42,0.8363536518396485
13,2,43,0.838184147904082
13,3,44,0.823906278601501
13,4,45,0.8372688998718653
13,5,46,0.8376349990847519
7.5,1,42,0.5619622917810727
7.5,2,43,0.5625114406004027
7.5,3,44,0.5647080358777229
7.5,4,45,0.5630605894197327
7.5,5,46,0.556836902800659
8.5,1,42,0.7801574226615413
8.5,2,43,0.776862529745561
8.5,3,44,0.7605711147721033
8.5,4,45,0.7744828848617975
8.5,5,46,0.7786930258099946
