epsilon,run,seed,accuracy
0.00,1,42,0.5015559216547685
0.00,2,43,0.5136371956800293
0.00,3,44,0.5061321618158521
0.00,4,45,0.527732015376167
0.00,5,46,0.5354200988467874
2.00,1,42,0.5015559216547685
2.00,2,43,0.5136371956800293
2.00,3,44,0.5061321618158521
2.00,4,45,0.527732015376167
2.00,5,46,0.5354200988467874
4.00,1,42,0.5015559216547685
4.00,2,43,0.5136371956800293
4.00,3,44,0.5061321618158521
4.00,4,45,0.527732015376167
4.00,5,46,0.5354200988467874
6.00,1,42,0.5130880468606992
6.00,2,43,0.5343218012081274
6.00,3,44,0.5075965586673988
6.00,4,45,0.527732015376167
6.00,5,46,0.5257184697052901
8.00,1,42,0.5074135090609555
8.00,2,43,0.5248032216730734
8.00,3,44,0.5125388980413692
8.00,4,45,0.5220574775764232
8.00,5,46,0.5259015193117335
10.00,1,42,0.5332235035694673
10.00,2,43,0.5291964122277137
10.00,3,44,0.5143693941058026
10.00,4,45,0.5315760571114773
10.00,5,46,0.5249862712795168
12.00,1,42,0.8949295259015193
12.00,2,43,0.894746476295076
12.00,3,44,0.8775398132894014
12.00,4,45,0.8993227164561596
12.00,5,46,0.8963939227530661
14.00,1,42,0.9115870400878638
14.00,2,43,0.9093904448105437
14.00,3,44,0.9017023613399231
14.00,4,45,0.9121361889071938
14.00,5,46,0.9110378912685337
16.00,1,42,0.9103056928427604
16.00,2,43,0.9055464030752334
16.00,3,44,0.9015193117334798
16.00,4,45,0.9128683873329673
16.00,5,46,0.9099395936298736
18.00,1,42,0.909024345597657
18.00,2,43,0.9071938495332235
18.00,3,44,0.9013362621270364
18.00,4,45,0.9128683873329673
18.00,5,46,0.9115870400878638
20.00,1,42,0.909024345597657
20.00,2,43,0.9071938495332235
20.00,3,44,0.9013362621270364
20.00,4,45,0.9128683873329673
20.00,5,46,0.9115870400878638
22.00,1,42,0.909024345597657
7.00,1,42,0.5147354933186894
22.00,2,43,0.9071938495332235
7.00,2,43,0.5088779059125023
22.00,3,44,0.9013362621270364
7.00,3,44,0.5070474098480688
7,1,42,0.5147354933186894
22.00,4,45,0.9128683873329673
7.00,4,45,0.5172981878088962
7,2,43,0.5088779059125023
22.00,5,46,0.9115870400878638
7.00,5,46,0.5053999633900788
7,3,44,0.5070474098480688
9.00,1,42,0.5213252791506499
7,4,45,0.5172981878088962
9.00,2,43,0.5161998901702362
7,5,46,0.5053999633900788
9.00,3,44,0.5123558484349259
9,1,42,0.5213252791506499
9.00,4,45,0.5216913783635365
9,2,43,0.5161998901702362
9.00,5,46,0.5145524437122461
9,3,44,0.5123558484349259
11.00,1,42,0.7296357312831777
9,4,45,0.5216913783635365
11.00,2,43,0.719201903715907
9,5,46,0.5145524437122461
11.00,3,44,0.7074867289035328
11,1,42,0.7296357312831777
11.00,4,45,0.7397034596375618
11,2,43,0.719201903715907
11.00,5,46,0.7267069375800842
11,3,44,0.7074867289035328
13.00,1,42,0.9097565440234303
11,4,45,0.7397034596375618
13.00,2,43,0.9088412959912137
11,5,46,0.7267069375800842
13.00,3,44,0.9013362621270364
13,1,42,0.9097565440234303
13.00,4,45,0.9097565440234303
13,2,43,0.9088412959912137
13.00,5,46,0.9117700896943072
13,3,44,0.9013362621270364
15.00,1,42,0.9093904448105437
13,4,45,0.9097565440234303
15.00,2,43,0.9073768991396669
13,5,46,0.9117700896943072
15.00,3,44,0.9015193117334798
15,1,42,0.9093904448105437
15.00,4,45,0.9097565440234303
15,2,43,0.9073768991396669
15.00,5,46,0.9103056928427604
15,3,44,0.9015193117334798
17.00,1,42,0.9115870400878638
15,4,45,0.9097565440234303
17.00,2,43,0.9070107999267801
15,5,46,0.9103056928427604
17.00,3,44,0.9013362621270364
17,1,42,0.9115870400878638
17.00,4,45,0.9128683873329673
17,2,43,0.9070107999267801
17.00,5,46,0.9115870400878638
17,3,44,0.9013362621270364
17,4,45,0.9128683873329673
19.00,1,42,0.909024345597657
19.00,2,43,0.9071938495332235
17,5,46,0.9115870400878638
19,1,42,0.909024345597657
19.00,3,44,0.9013362621270364
19.00,4,45,0.9128683873329673
19,2,43,0.9071938495332235
19.00,5,46,0.9115870400878638
19,3,44,0.9013362621270364
21.00,1,42,0.909024345597657
19,4,45,0.9128683873329673
21.00,2,43,0.9071938495332235
19,5,46,0.9115870400878638
21.00,3,44,0.9013362621270364
21.00,4,45,0.9128683873329673
21.00,5,46,0.9115870400878638
10.5,1,42,0.577521508328757
10.5,2,43,0.5736774665934469
10.5,3,44,0.5817316492769541
10.5,4,45,0.5780706571480871
10.5,5,46,0.5766062602965404
11.5,1,42,0.861431447922387
11.5,2,43,0.8590518030386235
11.5,3,44,0.8466044298004759
11.5,4,45,0.8581365550064067
11.5,5,46,0.8617975471352737
