epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,1,0.0,1.0
2.0,2,43,1,0.0,1.0
2.0,3,44,1,0.0,1.0
2.0,4,45,1,0.0,1.0
2.0,5,46,1,5e-05,0.99995
4.0,1,42,1,0.0,1.0
4.0,2,43,1,0.0,1.0
4.0,3,44,1,0.0,1.0
4.0,4,45,1,0.0,1.0
4.0,5,46,1,5e-05,0.99995
6.0,1,42,1,0.0,1.0
6.0,2,43,1,0.0,1.0
6.0,3,44,1,0.0,1.0
6.0,4,45,1,0.0,1.0
6.0,5,46,1,5e-05,0.99995
8.0,1,42,1,0.00297,0.99703
8.0,2,43,1,0.002921,0.997079
8.0,3,44,1,0.00297,0.99703
8.0,4,45,1,0.003168,0.996832
8.0,5,46,1,0.003614,0.996386
8.5,1,42,1,0.01208,0.98792
8.5,2,43,1,0.011387,0.988613
8.5,3,44,1,0.012179,0.987821
8.5,4,45,1,0.012377,0.987623
8.5,5,46,1,0.011832,0.988168
9.0,1,42,1,0.052329,0.947671
9.0,2,43,1,0.05124,0.94876
9.0,3,44,1,0.052527,0.947473
9.0,4,45,1,0.052379,0.947621
9.0,5,46,1,0.052032,0.947968
9.5,1,42,1,0.189613,0.810387
9.5,2,43,1,0.187831,0.812169
9.5,3,44,1,0.184267,0.815733
9.5,4,45,1,0.190603,0.809397
9.5,5,46,1,0.187286,0.812714
10.0,1,42,1,0.491559,0.508441
10.0,2,43,1,0.490668,0.509332
10.0,3,44,1,0.489777,0.510223
10.0,4,45,1,0.49146,0.50854
10.0,5,46,1,0.481608,0.518392
10.5,1,42,1,0.793802,0.206198
10.5,2,43,1,0.790732,0.209268
10.5,3,44,1,0.793851,0.206149
10.5,4,45,1,0.790584,0.209416
10.5,5,46,1,0.792911,0.207089
11.0,1,42,1,0.927521,0.072479
11.0,2,43,1,0.928214,0.071786
11.0,3,44,1,0.924155,0.075845
11.0,4,45,1,0.928957,0.071043
11.0,5,46,1,0.927818,0.072182
11.5,1,42,1,0.967226,0.032774
11.5,2,43,1,0.968117,0.031883
11.5,3,44,1,0.964404,0.035596
11.5,4,45,1,0.967771,0.032229
11.5,5,46,1,0.965988,0.034012
12.0,1,42,1,0.977128,0.022872
12.0,2,43,1,0.97787,0.02213
12.0,3,44,1,0.975494,0.024506
12.0,4,45,1,0.977326,0.022674
12.0,5,46,1,0.976088,0.023912
14.0,1,42,1,0.9799,0.0201
14.0,2,43,1,0.980395,0.019605
14.0,3,44,1,0.97787,0.02213
14.0,4,45,1,0.981088,0.018912
14.0,5,46,1,0.979157,0.020843
16.0,1,42,1,0.9799,0.0201
16.0,2,43,1,0.980395,0.019605
16.0,3,44,1,0.97787,0.02213
16.0,4,45,1,0.981138,0.018862
16.0,5,46,1,0.979157,0.020843
18.0,1,42,1,0.9799,0.0201
18.0,2,43,1,0.980395,0.019605
18.0,3,44,1,0.97787,0.02213
18.0,4,45,1,0.981138,0.018862
18.0,5,46,1,0.979157,0.020843
20.0,1,42,1,0.9799,0.0201
20.0,2,43,1,0.980395,0.019605
20.0,3,44,1,0.97787,0.02213
20.0,4,45,1,0.981138,0.018862
20.0,5,46,1,0.979157,0.020843
0.0,1,42,1,0.0,1.0
0.0,2,43,1,0.0,1.0
0.0,3,44,1,0.0,1.0
0.0,4,45,1,0.0,1.0
0.0,5,46,1,5e-05,0.99995
