epsilon,run,seed,defense_rate,attack_success_rate
2.0,1,42,0.9550,0.04495272043170454
2.0,2,43,0.9576,0.042427842962522895
2.0,3,44,0.9568,0.04317045398287044
2.0,4,45,0.9585,0.041487202336749344
2.0,5,46,0.9574,0.042627122791562666
4.0,1,42,0.9550,0.04495272043170454
4.0,2,43,0.9576,0.042427842962522895
4.0,3,44,0.9568,0.04317045398287044
4.0,4,45,0.9585,0.041487202336749344
4.0,5,46,0.9574,0.042627122791562666
6.0,1,42,0.9550,0.04495272043170454
6.0,2,43,0.9576,0.042427842962522895
6.0,3,44,0.9568,0.04317045398287044
6.0,4,45,0.9585,0.041487202336749344
6.0,5,46,0.9574,0.042627122791562666
8.0,1,42,0.9550,0.04495272043170454
8.0,2,43,0.9576,0.042427842962522895
8.0,3,44,0.9568,0.04317045398287044
8.0,4,45,0.9585,0.041487202336749344
8.0,5,46,0.9574,0.042627122791562666
10.0,1,42,0.9547,0.04529927224120006
10.0,2,43,0.9574,0.042576365166592404
10.0,3,44,0.9562,0.04376454279914847
10.0,4,45,0.9583,0.041685231942175355
10.0,5,46,0.9570,0.042969705867958695
12.0,1,42,0.8204,0.17961285212139214
12.0,2,43,0.8190,0.18104856676073072
12.0,3,44,0.8265,0.1735234417545423
12.0,4,45,0.8260,0.17396900836675083
12.0,5,46,0.8203,0.17974484015565736
14.0,1,42,0.3984,0.6015644338828655
14.0,2,43,0.3997,0.6003267488489529
14.0,3,44,0.3990,0.6009703450665874
14.0,4,45,0.3987,0.601316896876083
14.0,5,46,0.3990,0.601019852467944
16.0,1,42,0.3955,0.6045348779642556
16.0,2,43,0.3964,0.6036437447398386
16.0,3,44,0.3963,0.6036932521411951
16.0,4,45,0.3953,0.6046834001683251
16.0,5,46,0.3962,0.6038417743452646
18.0,1,42,0.3955,0.6045348779642556
18.0,2,43,0.3964,0.6036437447398386
18.0,3,44,0.3963,0.6036932521411951
18.0,4,45,0.3953,0.6046834001683251
18.0,5,46,0.3962,0.6038417743452646
20.0,1,42,0.3955,0.6045348779642556
20.0,2,43,0.3964,0.6036437447398386
20.0,3,44,0.3963,0.6036932521411951
20.0,4,45,0.3953,0.6046834001683251
20.0,5,46,0.3962,0.6038417743452646
22.0,1,42,0.3955,0.6045348779642556
22.0,2,43,0.3964,0.6036437447398386
22.0,3,44,0.3963,0.6036932521411951
22.0,4,45,0.3953,0.6046834001683251
22.0,5,46,0.3962,0.6038417743452646
10.5,1,42,0.9535,0.04648744987375612
10.5,2,43,0.9562,0.043814050200504974
10.5,3,44,0.9552,0.04480419822763503
10.5,4,45,0.9569,0.043120946581513935
10.5,5,46,0.9562,0.04375275289972104
11,1,42,0.9481,0.05188375662161493
11,2,43,0.9502,0.04980444576464181
11,3,44,0.9498,0.05020050497549384
11,4,45,0.9520,0.04802217931580771
11,5,46,0.9518,0.04815739245338423
11.5,1,42,0.9285,0.07148868755879004
11.5,2,43,0.9277,0.07228080598049408
11.5,3,44,0.9273,0.0727263725927026
11.5,4,45,0.9287,0.07134016535472053
11.5,5,46,0.9295,0.07048849016611623
12.5,1,42,0.5935,0.40645576513688797
12.5,2,43,0.5909,0.4090796574087826
12.5,3,44,0.5952,0.4048220208921234
12.5,4,45,0.5959,0.4040794098717758
12.5,5,46,0.5960,0.4039790679304897
13,1,42,0.4549,0.5450764889350957
13,2,43,0.4548,0.5452250111391653
13,3,44,0.4575,0.5424525966632011
13,4,45,0.4544,0.5456210703500173
13,5,46,0.4559,0.5441358483093223
13.5,1,42,0.4101,0.5899301945640874
13.5,2,43,0.4119,0.5880984207138967
13.5,3,44,0.4115,0.5884944799247488
13.5,4,45,0.4109,0.5890885687410268
13.5,5,46,0.4132,0.5868112282786276
24,1,42,0.3955,0.6045348779642556
24,2,43,0.3964,0.6036437447398386
24,3,44,0.3963,0.6036932521411951
24,4,45,0.3953,0.6046834001683251
24,5,46,0.3962,0.6038417743452646
0.0,1,42,0.9550,0.04495272043170454
0.0,2,43,0.9576,0.042427842962522895
0.0,3,44,0.9568,0.04317045398287044
0.0,4,45,0.9585,0.041487202336749344
0.0,5,46,0.9574,0.042627122791562666
