epsilon,run,seed,defense_rate,attack_success_rate
0.00,1,42,0.9735,0.026544108724669335
0.00,2,43,0.9728,0.027242441337460167
0.00,3,44,0.9730,0.026969998209871605
0.00,4,45,0.9730,0.026952391472440076
0.00,5,46,0.9729,0.027072507369252742
2.00,1,42,0.9735,0.026544108724669335
2.00,2,43,0.9728,0.027242441337460167
2.00,3,44,0.9730,0.026969998209871605
2.00,4,45,0.9730,0.026952391472440076
2.00,5,46,0.9729,0.027072507369252742
4.00,1,42,0.9735,0.026544108724669335
4.00,2,43,0.9728,0.027242441337460167
4.00,3,44,0.9730,0.026969998209871605
4.00,4,45,0.9730,0.026952391472440076
4.00,5,46,0.9729,0.027072507369252742
6.00,1,42,0.9735,0.026544108724669335
6.00,2,43,0.9728,0.027242441337460167
6.00,3,44,0.9730,0.026969998209871605
6.00,4,45,0.9730,0.026952391472440076
6.00,5,46,0.9729,0.027072507369252742
8.00,1,42,0.9735,0.026544108724669335
8.00,2,43,0.9728,0.027242441337460167
8.00,3,44,0.9730,0.026969998209871605
8.00,4,45,0.9730,0.026952391472440076
8.00,5,46,0.9729,0.02707630595314067
10.00,1,42,0.9731,0.0269233102778789
10.00,2,43,0.9723,0.027650296552670497
10.00,3,44,0.9727,0.02732421510487486
10.00,4,45,0.9727,0.02731043624327238
10.00,5,46,0.9725,0.027467560093597108
12.00,1,42,0.8194,0.18058599016387217
12.00,2,43,0.8180,0.18199490752740635
12.00,3,44,0.8187,0.18132399774483063
12.00,4,45,0.8186,0.18143275076566762
12.00,5,46,0.8189,0.18112567158272833
14.00,1,42,0.3539,0.646099836857914
14.00,2,43,0.3539,0.6460502843551313
14.00,3,44,0.3537,0.6462827999451111
14.00,4,45,0.3540,0.6459664262734993
14.00,5,46,0.3540,0.6459816731974324
16.00,1,42,0.3505,0.6494922774330278
16.00,2,43,0.3505,0.6494541601231951
16.00,3,44,0.3501,0.6498696388003721
16.00,4,45,0.3504,0.6496333114794091
16.00,5,46,0.3503,0.6496828639821915
7.00,1,42,0.9735,0.026544108724669335
7.00,2,43,0.9728,0.027242441337460167
7.00,3,44,0.9730,0.026969998209871605
7.00,4,45,0.9730,0.026952391472440076
7.00,5,46,0.9729,0.027072507369252742
11.00,1,42,0.9658,0.03416910063346357
11.00,2,43,0.9655,0.03445423635781481
11.00,3,44,0.9657,0.034339994896229686
11.00,4,45,0.9660,0.03396473639905994
11.00,5,46,0.9654,0.03462409213845079
11.50,1,42,0.9409,0.059147248012622125
11.50,2,43,0.9406,0.0594401329531767
11.50,3,44,0.9402,0.059778758028020934
11.50,4,45,0.9400,0.06004952380952381
11.50,5,46,0.9399,0.060050314274205194
12.50,1,42,0.5608,0.4392084125212808
12.50,2,43,0.5614,0.4385701434735542
12.50,3,44,0.5611,0.43888651714516597
12.50,4,45,0.5600,0.4400285106610052
12.50,5,46,0.5596,0.4404211793478882
13.00,1,42,0.4092,0.5907573147117569
13.00,2,43,0.4100,0.5900254623629683
13.00,3,44,0.4101,0.5898780687678428
13.00,4,45,0.4099,0.5900575902062347
13.00,5,46,0.4102,0.5898158171588882
15.00,1,42,0.3507,0.6493245612697638
15.00,2,43,0.3508,0.6492178328022321
15.00,3,44,0.3503,0.6496599935962919
15.00,4,45,0.3506,0.6494198545443457
15.00,5,46,0.3505,0.6494960891640111
17.00,1,42,0.3505,0.649507524356961
17.00,2,43,0.3505,0.6494694070471282
17.00,3,44,0.3501,0.6498772622623386
17.00,4,45,0.3503,0.6496523701343254
17.00,5,46,0.3503,0.6496752405202251
18.00,1,42,0.3505,0.6495151478189275
18.00,2,43,0.3505,0.6494770305090948
18.00,3,44,0.3501,0.6498772622623386
18.00,4,45,0.3503,0.6496523701343254
18.00,5,46,0.3503,0.6496828639821915
19.00,1,42,0.3505,0.6495151478189275
19.00,2,43,0.3505,0.6494770305090948
19.00,3,44,0.3501,0.6498772622623386
19.00,4,45,0.3503,0.6496523701343254
19.00,5,46,0.3503,0.6496828639821915
20.00,1,42,0.3505,0.6495151478189275
20.00,2,43,0.3505,0.6494770305090948
20.00,3,44,0.3501,0.6498772622623386
20.00,4,45,0.3503,0.6496523701343254
20.00,5,46,0.3503,0.6496828639821915
21.00,1,42,0.3505,0.6495151478189275
21.00,2,43,0.3505,0.6494770305090948
21.00,3,44,0.3501,0.6498772622623386
21.00,4,45,0.3503,0.6496523701343254
21.00,5,46,0.3503,0.6496828639821915
22.00,1,42,0.3505,0.6495151478189275
22.00,2,43,0.3505,0.6494770305090948
22.00,3,44,0.3501,0.6498772622623386
22.00,4,45,0.3503,0.6496523701343254
22.00,5,46,0.3503,0.6496828639821915
24.00,1,42,0.3505,0.6495151478189275
24.00,2,43,0.3505,0.6494770305090948
24.00,3,44,0.3501,0.6498772622623386
24.00,4,45,0.3503,0.6496523701343254
24.00,5,46,0.3503,0.6496828639821915
