epsilon,run,seed,topk,attack_success_rate,defense_rate
2.0,1,42,300,0.014308,0.985692
2.0,2,43,300,0.012476,0.987524
2.0,3,44,300,0.013912,0.986088
2.0,4,45,300,0.014902,0.985098
2.0,5,46,300,0.014456,0.985544
4.0,1,42,300,0.021387,0.978613
4.0,2,43,300,0.016436,0.983564
4.0,3,44,300,0.019704,0.980296
4.0,4,45,300,0.020397,0.979603
4.0,5,46,300,0.018664,0.981336
6.0,1,42,300,0.030794,0.969206
6.0,2,43,300,0.028071,0.971929
6.0,3,44,300,0.029655,0.970345
6.0,4,45,300,0.030893,0.969107
6.0,5,46,300,0.027328,0.972672
8.0,1,42,300,0.048418,0.951582
8.0,2,43,300,0.045844,0.954156
8.0,3,44,300,0.049359,0.950641
8.0,4,45,300,0.049507,0.950493
8.0,5,46,300,0.048072,0.951928
10.0,1,42,300,0.104906,0.895094
10.0,2,43,300,0.094757,0.905243
10.0,3,44,300,0.099312,0.900688
10.0,4,45,300,0.105352,0.894648
10.0,5,46,300,0.100847,0.899153
12.0,1,42,300,0.252339,0.747661
12.0,2,43,300,0.241943,0.758057
12.0,3,44,300,0.251696,0.748304
12.0,4,45,300,0.254022,0.745978
12.0,5,46,300,0.248676,0.751324
14.0,1,42,300,0.534977,0.465023
14.0,2,43,300,0.525967,0.474033
14.0,3,44,300,0.539433,0.460567
14.0,4,45,300,0.549879,0.450121
14.0,5,46,300,0.537947,0.462053
16.0,1,42,300,0.803753,0.196247
16.0,2,43,300,0.801277,0.198723
16.0,3,44,300,0.806525,0.193475
16.0,4,45,300,0.808208,0.191792
16.0,5,46,300,0.80306,0.19694
18.0,1,42,300,0.939849,0.060151
18.0,2,43,300,0.938809,0.061191
18.0,3,44,300,0.93871,0.06129
18.0,4,45,300,0.94173,0.05827
18.0,5,46,300,0.937373,0.062627
20.0,1,42,300,0.984009,0.015991
20.0,2,43,300,0.983712,0.016288
20.0,3,44,300,0.983663,0.016337
20.0,4,45,300,0.985247,0.014753
20.0,5,46,300,0.982078,0.017922
22.0,1,42,300,0.99599,0.00401
22.0,2,43,300,0.995049,0.004951
22.0,3,44,300,0.995643,0.004357
22.0,4,45,300,0.99594,0.00406
22.0,5,46,300,0.994059,0.005941
24.0,1,42,300,0.999257,0.000743
24.0,2,43,300,0.998911,0.001089
24.0,3,44,300,0.999208,0.000792
24.0,4,45,300,0.999257,0.000743
24.0,5,46,300,0.998812,0.001188
